stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
1127,1127,1127-Portopí (centre comercial),CL JOAN MIRÓ,39.552072,2.621358,,http://www.emtpalma.es/p/1127,0, ,,0
1128,1128,1128-Gran Via Asima  22,CL VIA ASIMA 22,39.606596,2.668995,,http://www.emtpalma.es/p/1128,0, ,,0
1133,1133,1133-Son Llinàs,CR VELLA DE SINEU,39.577424,2.703739,,http://www.emtpalma.es/p/1133,0, ,,0
1135,1135,1135-Àrea Serveis Aeroport,CM FONDO,39.543253,2.717151,,http://www.emtpalma.es/p/1135,0, ,,0
1136,1136,1136-Àrea Serveis Aeroport,CM FONDO,39.543757,2.716870,,http://www.emtpalma.es/p/1136,0, ,,0
1137,1137,1137-Cases Noves  40,CM CASES NOVES 40,39.625933,2.647778,,http://www.emtpalma.es/p/1137,0, ,,0
1138,1138,1138-Josep Antoni de Cabanyes  18,CL JOSEP ANTONI DE CABANYES 18,39.602031,2.628506,,http://www.emtpalma.es/p/1138,0, ,,0
1140,1140,1140-Edifici Jovellanos,CL MENORCA,39.640205,2.644652,,http://www.emtpalma.es/p/1140,0, ,,0
1142,1142,1142-CIS de Mallorca,CL CARRER ENLLAÇ VIA DE CINTURA,39.567349,2.686260,,http://www.emtpalma.es/p/1142,0, ,,0
1143,1143,1143-Institut Josep Sureda,CL AVINGUA DEL CID,39.591484,2.712308,,http://www.emtpalma.es/p/1143,0, ,,0
1144,1144,1144-Camí de la Real,CM LA REAL,39.626310,2.638665,,http://www.emtpalma.es/p/1144,0, ,,0
1145,1145,1145-Carrer Julián Gayarre,CL JULIAN GAYARRE,39.584819,2.663323,,http://www.emtpalma.es/p/1145,0, ,,0
1146,1146,1146-AEROPORT-ARRIBADES,ED AEROPORT-ARRIBADES,39.547247,2.729169,,http://www.emtpalma.es/p/1146,0, ,,0
